NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth,
SQ000178,squid_8,SQ176,NovaSeqX25B,Oregon,7/18/21,2107RL,15,45.3445,-124.1812,3.05561,
SQ000179,squid_8,SQ177,NovaSeqX25B,Oregon,7/18/21,2107RL,15,45.3445,-124.1812,2.67197,
SQ000180,squid_8,SQ178,NovaSeqX25B,Oregon,7/18/21,2107RL,15,45.3445,-124.1812,2.72812,
SQ000181,squid_8,SQ216,NovaSeqX25B,Oregon,7/18/21,2107RL,15,45.3445,-124.1812,2.50701,
SQ000182,squid_8,SQ217,NovaSeqX25B,Oregon,7/18/21,2107RL,15,45.3445,-124.1812,2.22046,
SQ000092,squid_5,SQ79,NovaSeq6000,California,7/31/22,2207RL,17,38.3512,-123.2537,3.90928,
SQ000093,squid_5,SQ80,NovaSeq6000,California,7/31/22,2207RL,17,38.3512,-123.2537,3.17759,
SQ000184,squid_8,SQ225,NovaSeqX25B,California,7/31/22,2207RL,17,38.3512,-123.2537,1.86524,
SQ000185,squid_8,SQ226,NovaSeqX25B,California,7/31/22,2207RL,17,38.3512,-123.2537,2.4095,
SQ000183,none,none,Prepped,California,7/31/22,2207RL,17,38.3512,-123.2537,,
SQ000063,squid_3,SQ50,NovaSeq6000,California,8/1/22,2207RL,18,37.9715,-123.1488,6.68563,
SQ000064,squid_3,SQ51,NovaSeq6000,California,8/1/22,2207RL,18,37.9715,-123.1488,6.10651,
SQ000065,squid_3,SQ52,NovaSeq6000,California,8/1/22,2207RL,18,37.9715,-123.1488,7.98704,
SQ000066,squid_3,SQ53,NovaSeq6000,California,8/1/22,2207RL,18,37.9715,-123.1488,6.11008,
SQ000186,squid_8,SQ227,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.69631,
SQ000187,squid_8,SQ228,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.02812,
SQ000188,squid_8,SQ229,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.53257,
SQ000189,squid_8,SQ200,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.0501,
SQ000190,squid_8,SQ201,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.26486,
SQ000191,squid_8,SQ202,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.47699,
SQ000192,squid_8,SQ203,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.34153,
SQ000193,squid_8,SQ188,NovaSeqX25B,California,8/1/22,2207RL,18,37.9715,-123.1488,2.45026,
SQ000075,squid_4,SQ61,NovaSeq6000,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,6.52453,
SQ000076,squid_4,SQ62,NovaSeq6000,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,6.80357,
SQ000077,squid_4,SQ63,NovaSeq6000,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,6.83002,
SQ000078,squid_5,SQ91,NovaSeq6000,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,6.44495,
SQ000094,squid_5,SQ93,NovaSeq6000,California,8/1/22,2207RL,19,37.5773,-123.1709,8.00221,
SQ000095,squid_7,SQ94,NovaSeqX25B,California,8/1/22,2207RL,19,37.5773,-123.1709,3.32869,
SQ000116,squid_7,SQ113,NovaSeqX25B,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,2.32682,
SQ000117,squid_7,SQ114,NovaSeqX25B,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,2.36061,
SQ000118,squid_7,SQ115,NovaSeqX25B,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,2.67788,
SQ000119,squid_7,SQ116,NovaSeqX25B,Oregon,7/20/21,2107RL,19,45.5132,-124.5523,2.75076,
SQ000202,squid_8,SQ192,NovaSeqX25B,California,8/1/22,2207RL,19,37.5773,-123.1709,2.16015,
SQ000034,squid_2,SQ34,NovaSeq6000,California,8/2/22,2207RL,22,37.5483,-122.8723,5.46921,
SQ000035,squid_2,SQ35,NovaSeq6000,California,8/2/22,2207RL,22,37.5483,-122.8723,5.02221,
SQ000036,squid_2,SQ36,NovaSeq6000,California,8/2/22,2207RL,22,37.5483,-122.8723,4.35649,
SQ000037,squid_2,SQ37,NovaSeq6000,California,8/2/22,2207RL,22,37.5483,-122.8723,4.82995,
SQ000134,squid_7,SQ130,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,2.46887,
SQ000135,squid_7,SQ131,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,2.99728,
SQ000136,squid_7,SQ132,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,2.97298,
SQ000137,squid_7,SQ133,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,3.344,
